path,width,height,alpha_min,alpha_max
01_brand/elements/chat-bubble-purple.png,205,200,255,255
01_brand/elements/cosmic-arc-cyan.png,315,200,255,255
01_brand/elements/open-book-glow.png,465,225,255,255
01_brand/elements/sparkles-cluster-bright.png,375,165,255,255
01_brand/elements/sparkles-cluster-soft.png,310,160,255,255
01_brand/elements/star-badge-yellow.png,175,200,255,255
01_brand/elements/water-splash-blue.png,330,170,255,255
01_brand/logo/studybuddy-app-icon.png,250,270,0,255
01_brand/logo/studybuddy-logo-circle-badge.png,345,300,1,255
01_brand/logo/studybuddy-logo-full.png,275,295,0,255
01_brand/logo/studybuddy-logo-icon.png,500,500,0,255
01_brand/logo/studybuddy-logo-tiny.png,160,235,0,255
01_brand/mascot/dolphin-book-hero-full.png,370,425,0,255
01_brand/mascot/dolphin-book-hero-large.png,1024,1024,0,255
01_brand/mascot/dolphin-book-medium.png,375,390,0,255
02_apps/flashcard-castle/01_app-icon/flashcard-castle_icon-128.png,128,128,0,255
02_apps/flashcard-castle/01_app-icon/flashcard-castle_icon-256.png,256,256,0,255
02_apps/flashcard-castle/01_app-icon/flashcard-castle_icon-512.png,512,512,0,255
02_apps/flashcard-castle/01_app-icon/flashcard-castle_main-icon.png,500,500,0,255
02_apps/flashcard-castle/02_orbs/flashcard-castle_orb-glow.png,66,71,0,255
02_apps/flashcard-castle/02_orbs/flashcard-castle_orb-small.png,62,62,0,255
02_apps/flashcard-castle/03_sparks/flashcard-castle_comet-trail.png,60,61,0,255
02_apps/flashcard-castle/03_sparks/flashcard-castle_spark-small.png,35,35,0,255
02_apps/flashcard-castle/03_sparks/flashcard-castle_star-main.png,97,103,0,255
02_apps/flashcard-castle/04_bubbles/flashcard-castle_chat-bubble.png,205,200,255,255
02_apps/flashcard-castle/05_planets-bg/flashcard-castle_mini-planet.png,135,113,0,255
02_apps/focus-forest/01_app-icon/focus-forest_icon-128.png,128,128,0,255
02_apps/focus-forest/01_app-icon/focus-forest_icon-256.png,256,256,0,255
02_apps/focus-forest/01_app-icon/focus-forest_icon-512.png,512,512,0,255
02_apps/focus-forest/01_app-icon/focus-forest_main-icon.png,500,500,0,255
02_apps/focus-forest/02_orbs/focus-forest_orb-glow.png,71,81,0,255
02_apps/focus-forest/02_orbs/focus-forest_orb-small.png,38,41,0,255
02_apps/focus-forest/03_sparks/focus-forest_comet-trail.png,68,72,0,255
02_apps/focus-forest/03_sparks/focus-forest_spark-small.png,76,77,0,255
02_apps/focus-forest/03_sparks/focus-forest_star-main.png,77,83,0,255
02_apps/focus-forest/04_bubbles/focus-forest_chat-bubble.png,205,200,255,255
02_apps/focus-forest/05_planets-bg/focus-forest_mini-planet.png,160,155,255,255
02_apps/math-quest/01_app-icon/math-quest_icon-128.png,128,128,0,255
02_apps/math-quest/01_app-icon/math-quest_icon-256.png,256,256,0,255
02_apps/math-quest/01_app-icon/math-quest_icon-512.png,512,512,0,255
02_apps/math-quest/01_app-icon/math-quest_main-icon.png,500,500,0,255
02_apps/math-quest/02_orbs/math-quest_orb-glow.png,43,44,0,255
02_apps/math-quest/02_orbs/math-quest_orb-small.png,77,82,0,255
02_apps/math-quest/03_sparks/math-quest_comet-trail.png,63,49,0,255
02_apps/math-quest/03_sparks/math-quest_spark-small.png,49,51,0,255
02_apps/math-quest/03_sparks/math-quest_star-main.png,116,140,0,255
02_apps/math-quest/04_bubbles/math-quest_chat-bubble.png,205,200,255,255
02_apps/math-quest/05_planets-bg/math-quest_mini-planet.png,255,155,255,255
02_apps/planner-city/01_app-icon/planner-city_icon-128.png,128,128,0,255
02_apps/planner-city/01_app-icon/planner-city_icon-256.png,256,256,0,255
02_apps/planner-city/01_app-icon/planner-city_icon-512.png,512,512,0,255
02_apps/planner-city/01_app-icon/planner-city_main-icon.png,500,500,0,255
02_apps/planner-city/02_orbs/planner-city_orb-glow.png,50,53,0,255
02_apps/planner-city/02_orbs/planner-city_orb-small.png,61,61,0,255
02_apps/planner-city/03_sparks/planner-city_comet-trail.png,66,68,0,255
02_apps/planner-city/03_sparks/planner-city_spark-small.png,42,44,0,255
02_apps/planner-city/03_sparks/planner-city_star-main.png,37,39,0,255
02_apps/planner-city/04_bubbles/planner-city_chat-bubble.png,205,200,255,255
02_apps/planner-city/05_planets-bg/planner-city_mini-planet.png,134,123,0,255
02_apps/quiz-galaxy/01_app-icon/quiz-galaxy_icon-128.png,128,128,0,255
02_apps/quiz-galaxy/01_app-icon/quiz-galaxy_icon-256.png,256,256,0,255
02_apps/quiz-galaxy/01_app-icon/quiz-galaxy_icon-512.png,512,512,0,255
02_apps/quiz-galaxy/01_app-icon/quiz-galaxy_main-icon.png,500,500,0,255
02_apps/quiz-galaxy/02_orbs/quiz-galaxy_orb-glow.png,77,82,0,255
02_apps/quiz-galaxy/02_orbs/quiz-galaxy_orb-small.png,39,40,0,255
02_apps/quiz-galaxy/03_sparks/quiz-galaxy_comet-trail.png,57,57,0,255
02_apps/quiz-galaxy/03_sparks/quiz-galaxy_spark-small.png,39,42,0,255
02_apps/quiz-galaxy/03_sparks/quiz-galaxy_star-main.png,92,95,0,255
02_apps/quiz-galaxy/04_bubbles/quiz-galaxy_chat-bubble.png,205,200,255,255
02_apps/quiz-galaxy/05_planets-bg/quiz-galaxy_mini-planet.png,162,110,0,255
02_apps/reading-garden/01_app-icon/reading-garden_icon-128.png,128,128,0,255
02_apps/reading-garden/01_app-icon/reading-garden_icon-256.png,256,256,0,255
02_apps/reading-garden/01_app-icon/reading-garden_icon-512.png,512,512,0,255
02_apps/reading-garden/01_app-icon/reading-garden_main-icon.png,500,500,0,255
02_apps/reading-garden/02_orbs/reading-garden_orb-glow.png,78,83,0,255
02_apps/reading-garden/02_orbs/reading-garden_orb-small.png,66,71,0,255
02_apps/reading-garden/03_sparks/reading-garden_comet-trail.png,48,46,0,255
02_apps/reading-garden/03_sparks/reading-garden_spark-small.png,69,73,0,255
02_apps/reading-garden/03_sparks/reading-garden_star-main.png,109,107,0,255
02_apps/reading-garden/04_bubbles/reading-garden_chat-bubble.png,205,200,255,255
02_apps/reading-garden/05_planets-bg/reading-garden_mini-planet.png,155,155,255,255
02_apps/shapes-lab/01_app-icon/shapes-lab_icon-128.png,128,128,0,255
02_apps/shapes-lab/01_app-icon/shapes-lab_icon-256.png,256,256,0,255
02_apps/shapes-lab/01_app-icon/shapes-lab_icon-512.png,512,512,0,255
02_apps/shapes-lab/01_app-icon/shapes-lab_main-icon.png,500,500,0,255
02_apps/shapes-lab/02_orbs/shapes-lab_orb-glow.png,67,77,0,255
02_apps/shapes-lab/02_orbs/shapes-lab_orb-small.png,38,37,0,255
02_apps/shapes-lab/03_sparks/shapes-lab_comet-trail.png,57,56,0,255
02_apps/shapes-lab/03_sparks/shapes-lab_spark-small.png,37,37,0,255
02_apps/shapes-lab/03_sparks/shapes-lab_star-main.png,113,123,0,255
02_apps/shapes-lab/04_bubbles/shapes-lab_chat-bubble.png,205,200,255,255
02_apps/shapes-lab/05_planets-bg/shapes-lab_mini-planet.png,124,112,0,255
02_apps/spelling-sprint/01_app-icon/spelling-sprint_icon-128.png,128,128,0,255
02_apps/spelling-sprint/01_app-icon/spelling-sprint_icon-256.png,256,256,0,255
02_apps/spelling-sprint/01_app-icon/spelling-sprint_icon-512.png,512,512,0,255
02_apps/spelling-sprint/01_app-icon/spelling-sprint_main-icon.png,500,500,0,255
02_apps/spelling-sprint/02_orbs/spelling-sprint_orb-glow.png,79,83,0,255
02_apps/spelling-sprint/02_orbs/spelling-sprint_orb-small.png,67,77,0,255
02_apps/spelling-sprint/03_sparks/spelling-sprint_comet-trail.png,49,48,0,255
02_apps/spelling-sprint/03_sparks/spelling-sprint_spark-small.png,101,107,0,255
02_apps/spelling-sprint/03_sparks/spelling-sprint_star-main.png,89,106,0,255
02_apps/spelling-sprint/04_bubbles/spelling-sprint_chat-bubble.png,205,200,255,255
02_apps/spelling-sprint/05_planets-bg/spelling-sprint_mini-planet.png,155,155,255,255
03_effects/01_single-stars/01_single-stars_001.png,116,140,0,255
03_effects/01_single-stars/01_single-stars_002.png,89,106,0,255
03_effects/01_single-stars/01_single-stars_003.png,109,107,0,255
03_effects/01_single-stars/01_single-stars_004.png,77,83,0,255
03_effects/01_single-stars/01_single-stars_005.png,37,39,0,255
03_effects/01_single-stars/01_single-stars_006.png,92,95,0,255
03_effects/01_single-stars/01_single-stars_007.png,113,123,0,255
03_effects/01_single-stars/01_single-stars_008.png,97,103,0,255
03_effects/01_single-stars/01_single-stars_009.png,49,51,0,255
03_effects/01_single-stars/01_single-stars_010.png,101,107,0,255
03_effects/01_single-stars/01_single-stars_011.png,69,73,0,255
03_effects/01_single-stars/01_single-stars_012.png,76,77,0,255
03_effects/01_single-stars/01_single-stars_013.png,42,44,0,255
03_effects/01_single-stars/01_single-stars_014.png,39,42,0,255
03_effects/01_single-stars/01_single-stars_015.png,37,37,0,255
03_effects/01_single-stars/01_single-stars_016.png,35,35,0,255
03_effects/01_single-stars/01_single-stars_017.png,46,44,0,255
03_effects/01_single-stars/01_single-stars_018.png,50,49,0,255
03_effects/01_single-stars/01_single-stars_019.png,32,28,0,255
03_effects/01_single-stars/01_single-stars_020.png,81,81,0,255
03_effects/01_single-stars/01_single-stars_021.png,60,62,0,255
03_effects/01_single-stars/01_single-stars_022.png,61,63,0,255
03_effects/01_single-stars/01_single-stars_023.png,35,36,0,255
03_effects/01_single-stars/01_single-stars_024.png,47,52,0,255
03_effects/01_single-stars/01_single-stars_025.png,49,48,0,255
03_effects/01_single-stars/01_single-stars_026.png,54,53,0,255
03_effects/01_single-stars/01_single-stars_027.png,51,54,0,255
03_effects/01_single-stars/01_single-stars_028.png,44,41,0,255
03_effects/01_single-stars/01_single-stars_029.png,42,42,0,255
03_effects/02_orbs/02_orbs_001.png,43,44,0,255
03_effects/02_orbs/02_orbs_002.png,79,83,0,255
03_effects/02_orbs/02_orbs_003.png,78,83,0,255
03_effects/02_orbs/02_orbs_004.png,71,81,0,255
03_effects/02_orbs/02_orbs_005.png,50,53,0,255
03_effects/02_orbs/02_orbs_006.png,77,82,0,255
03_effects/02_orbs/02_orbs_007.png,67,77,0,255
03_effects/02_orbs/02_orbs_008.png,66,71,0,255
03_effects/02_orbs/02_orbs_009.png,38,41,0,255
03_effects/02_orbs/02_orbs_010.png,61,61,0,255
03_effects/02_orbs/02_orbs_011.png,39,40,0,255
03_effects/02_orbs/02_orbs_012.png,38,37,0,255
03_effects/02_orbs/02_orbs_013.png,62,62,0,255
03_effects/02_orbs/02_orbs_014.png,58,70,0,255
03_effects/02_orbs/02_orbs_015.png,56,55,0,255
03_effects/02_orbs/02_orbs_016.png,57,53,0,255
03_effects/02_orbs/02_orbs_017.png,46,46,0,255
03_effects/02_orbs/02_orbs_018.png,56,56,0,255
03_effects/02_orbs/02_orbs_019.png,57,56,0,255
03_effects/02_orbs/02_orbs_020.png,48,46,0,255
03_effects/02_orbs/02_orbs_021.png,50,51,0,255
03_effects/02_orbs/02_orbs_022.png,26,46,0,255
03_effects/03_comets/03_comets_001.png,63,49,0,255
03_effects/03_comets/03_comets_002.png,49,48,0,255
03_effects/03_comets/03_comets_003.png,48,46,0,255
03_effects/03_comets/03_comets_004.png,68,72,0,255
03_effects/03_comets/03_comets_005.png,66,68,0,255
03_effects/03_comets/03_comets_006.png,57,57,0,255
03_effects/03_comets/03_comets_007.png,57,56,0,255
03_effects/03_comets/03_comets_008.png,60,61,0,255
03_effects/03_comets/03_comets_009.png,60,59,0,255
03_effects/03_comets/03_comets_010.png,55,57,0,255
03_effects/03_comets/03_comets_011.png,45,47,0,255
